2026-05-18 14:35:22,762 | ERROR | - | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: XSD"}}}
2026-05-18 14:35:48,544 | ERROR | - | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: SPY"}}}
2026-05-18 14:35:48,544 | INFO | - | apex.scheduler.service | APEX autopilot scheduler running (Ctrl+C or SIGTERM to exit)
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,545 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,546 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,546 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-18 14:35:48,546 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
